Time(s),TidalVolume(mL)
64.72,500.719
64.76,500.719
64.8,500.719
64.84,500.719
64.88,500.719
64.92,500.719
64.96,500.719
65,500.719
65.04,500.719
65.08,500.719
65.12,500.719
65.16,500.719
65.2,500.719
65.24,500.719
65.28,500.719
65.32,500.719
65.36,500.719
65.4,500.719
65.44,500.719
65.48,500.719
65.52,500.719
65.56,500.719
65.6,500.719
65.64,500.719
65.68,500.719
65.72,500.719
65.76,500.719
65.8,500.719
65.84,500.719
65.88,500.719
65.92,500.719
65.96,500.719
66,500.719
66.04,500.719
66.08,500.719
66.12,500.719
66.16,500.719
66.2,500.719
66.24,500.719
66.28,500.719
66.32,500.719
66.36,500.719
66.4,500.719
66.44,500.719
66.48,500.719
66.52,500.719
66.56,500.719
66.6,500.719
66.64,500.719
66.68,500.719
66.72,500.719
66.76,500.719
66.8,500.719
66.84,500.719
66.88,500.719
66.92,500.719
66.96,500.719
67,500.719
67.04,500.719
67.08,500.719
67.12,500.719
67.16,500.719
67.2,500.719
67.24,511.145
67.28,511.145
67.32,511.145
67.36,511.145
67.4,511.145
67.44,511.145
67.48,511.145
67.52,511.145
67.56,511.145
67.6,511.145
67.64,511.145
67.68,511.145
67.72,511.145
67.76,511.145
67.8,511.145
67.84,511.145
67.88,511.145
67.92,511.145
67.96,511.145
68,511.145
68.04,511.145
68.08,511.145
68.12,511.145
68.16,511.145
68.2,511.145
68.24,511.145
68.28,511.145
68.32,511.145
68.36,511.145
68.4,511.145
68.44,511.145
68.48,511.145
68.52,511.145
68.56,511.145
68.6,511.145
68.64,511.145
68.68,511.145
68.72,511.145
68.76,511.145
68.8,511.145
68.84,511.145
68.88,511.145
68.92,511.145
68.96,511.145
69,511.145
69.04,511.145
69.08,511.145
69.12,511.145
69.16,511.145
69.2,511.145
69.24,511.145
69.28,511.145
69.32,511.145
69.36,511.145
69.4,511.145
69.44,511.145
69.48,511.145
69.52,511.145
69.56,511.145
69.6,511.145
69.64,511.145
69.68,511.145
69.72,511.145
69.76,511.145
69.8,511.145
69.84,511.145
69.88,511.145
69.92,511.145
69.96,511.145
70,511.145
70.04,511.145
70.08,511.145
70.12,511.145
70.16,511.145
70.2,511.145
